,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
ww-2.1.3,0.287,0.381,0.475,0.519,0.586,0.635,0.652,0.68,0.707,0.724,0.729,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
ww-2.1.7,0.327,0.417,0.5,0.548,0.601,0.649,0.661,0.679,0.702,0.714,0.72,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732
ww-2.2.0,0.269,0.344,0.414,0.454,0.485,0.52,0.52,0.542,0.573,0.577,0.586,0.604,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
ww-2.2.2,0.265,0.352,0.42,0.461,0.489,0.516,0.534,0.548,0.575,0.58,0.607,0.616,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621
ww-2.3.1,0.267,0.356,0.431,0.47,0.5,0.55,0.55,0.55,0.584,0.609,0.609,0.619,0.619,0.624,0.624,0.624,0.624,0.624,0.624,0.624
ww-2.3.4,0.278,0.389,0.46,0.505,0.535,0.586,0.586,0.586,0.611,0.636,0.652,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662
ww-2.3.10,0.272,0.373,0.42,0.462,0.491,0.521,0.538,0.538,0.556,0.574,0.598,0.609,0.615,0.621,0.621,0.621,0.621,0.621,0.621,0.621
ww-2.3.15,0.287,0.392,0.448,0.483,0.51,0.566,0.58,0.58,0.601,0.622,0.65,0.657,0.657,0.664,0.664,0.664,0.664,0.664,0.664,0.664
ww-2.3.17,0.299,0.393,0.462,0.479,0.513,0.564,0.581,0.581,0.598,0.615,0.624,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
ww-2.3.20,0.343,0.444,0.491,0.5,0.537,0.574,0.593,0.593,0.611,0.62,0.62,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648
ww-2.3.24,0.34,0.457,0.489,0.5,0.521,0.574,0.596,0.596,0.617,0.628,0.628,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
zookeeper-3.5.1,0.287,0.438,0.487,0.537,0.588,0.613,0.65,0.675,0.688,0.688,0.688,0.7,0.7,0.725,0.725,0.725,0.725,0.725,0.725,0.725
zookeeper-3.5.2,0.3,0.417,0.45,0.517,0.583,0.6,0.65,0.683,0.7,0.7,0.717,0.717,0.717,0.733,0.733,0.733,0.733,0.733,0.733,0.733
zookeeper-3.5.3,0.3,0.425,0.475,0.55,0.6,0.625,0.675,0.725,0.725,0.725,0.725,0.725,0.725,0.75,0.75,0.75,0.75,0.75,0.75,0.75
