,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
nutch-1.7,138,105,241,220,683,674,377,329,366,165,440,428,32,4,213,226,230,230,230,230
nutch-1.8,154,80,31,72,341,32,634,138,177,267,33,69,240,228,698,228,232,232,232,232
nutch-1.9,75,154,5,3,354,6,557,210,4,164,1181,316,5,565,749,228,232,232,232,232
nutch-1.10,38,46,103,72,93,108,23,382,162,180,203,221,239,85,3,5,237,237,237,237
nutch-1.12,153,146,139,112,217,126,39,162,204,186,235,445,467,237,52,256,261,261,261,261
nutch-1.13,118,11,232,11,254,15,249,14,294,16,356,16,444,16,506,244,249,249,249,249
nutch-1.14,79,28,28,21,452,118,128,333,31,1881,381,234,235,259,250,246,251,251,251,251
nutch-1.15,22,5,197,123,26,751,102,556,250,26,544,196,460,746,115,241,246,246,246,246
storm-0.9.3,1419,2846,4713,654,6610,8312,384,179,8421,223,15764,2744,3982,50,41,41,41,41,41,41
storm-1.0.0,2408,195,270,648,384,1641,325,2458,45,384,870,5588,566,605,9,393,393,393,393,393
storm-1.0.3,152,36,157,1179,469,612,513,361,644,6075,9,5832,425,8372,392,405,405,405,405,405
storm-1.0.5,3092,5125,11456,12258,1081,17970,16459,25632,27441,5835,25448,42157,4059,1019,11,407,407,407,407,407
tika-0.8,62,54,44,34,7,3,506,123,149,8,140,36,386,160,10,10,10,10,10,10
tika-0.9,80,25,40,55,127,69,527,100,105,7,123,143,386,160,10,10,10,10,10,10
tika-0.10,33,16,138,21,5,78,22,535,117,40,18,431,18,35,10,8,8,8,8,8
tika-1.1,159,268,52,4,34,220,141,5,715,44,818,3,487,35,1,1,1,1,1,1
tika-1.3,155,13,34,15,14,40,33,18,36,485,39,17,7,13,1,7,7,7,7,7
tika-1.5,8,37,30,119,146,33,408,5,486,53,331,34,34,412,104,7,7,7,7,7
