,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
calcite-1.17.0,0.033540911783751,0.0682770070126613,0.1026755576374633,0.1371981042392847,0.1715828775333067,0.2063671934199468,0.2414993869087802,0.2771344529710813,0.3129761789950815,0.3493001115963793
calcite-1.18.0,0.0284527766168461,0.0577812274032943,0.0868343715379359,0.1157846902966014,0.1447250582124306,0.17393078193723,0.2034350309471212,0.2335562322128684,0.2637039690595126,0.2942099362482669
cassandra-0.8.6,0.0222618195399794,0.0457297145880668,0.0693687945469824,0.0930623424320707,0.1166158299355722,0.14009150611597,0.1638550841918516,0.1881633415294593,0.212137010177721,0.2365931090292259
cassandra-1.0.9,0.0326539756775489,0.0662811294466887,0.1001813331839726,0.1340115241089119,0.167659681721755,0.2011188047412676,0.2347179533854695,0.2686181571227534,0.3024483480476927,0.3366776120029965
cassandra-1.1.6,0.0177775103060211,0.0363614479583546,0.0551018565883308,0.0738362471037823,0.0924803659013631,0.1109619956067764,0.1296181506334065,0.1484127222941052,0.1671892396112298,0.1860560286462251
cassandra-1.1.11,0.0279197263559617,0.0565779135232851,0.0853956082258626,0.1142664721068582,0.1429364746471634,0.1714942311441416,0.2001996798033922,0.228946482268079,0.2577169154787294,0.2865936870462158
cassandra-1.2.11,0.0139971768807374,0.0283875062762299,0.0428441505537292,0.0572723741675113,0.0717195448904383,0.0860719800676411,0.1004670462404198,0.114942637627064,0.1293045463588393,0.1439032939549248
flink-1.6.0,0.0029735247629083,0.0060129083245521,0.0090457060063224,0.0120834430979978,0.0151145943097997,0.01814739199157,0.0211851290832455,0.0242409773445732,0.0272754214963119,0.0303625526870389
groovy-1.5.5,0.0282105727601136,0.0573035876789013,0.0864425631267867,0.1158756859608967,0.144977892985504,0.1742547500206822,0.2034856465267628,0.2328544246201362,0.262177242184412,0.291785015029093
groovy-1.6.0,0.0122986511841965,0.0250150458455765,0.0377243601090381,0.050440754770418,0.0631500690338797,0.0759231068786065,0.0886819839274967,0.1014479413743052,0.1141926576273586,0.1270435798491875
groovy-1.7.3,0.0139337407526535,0.0282084271469926,0.0424509488581537,0.0567256352524927,0.0710646510131875,0.085255709231264,0.0996011579285944,0.1139466066259247,0.1281826954004503,0.1425345770344162
groovy-1.7.6,0.0159819225015622,0.0321216443959123,0.0483623579016467,0.064552575601689,0.0807932891074235,0.0970150666860233,0.113331523900296,0.1297237248231068,0.1461096137702062,0.1626469901343819
groovy-1.8.1,0.0118887406295993,0.0238805628253511,0.0360155538629816,0.0482078124373636,0.060417251272771,0.0725407888030512,0.0847445008847834,0.0969997537495919,0.1091691053092733,0.1214129046667315
groovy-1.8.7,0.0177499604039344,0.0362536114342514,0.054784570095959,0.073375605546726,0.091961179471215,0.1104320613438631,0.1288647125325643,0.1473956711942719,0.1659593990136483,0.1847142802527594
groovy-2.1.0,0.0074342290255585,0.0152532423006151,0.0230870549698832,0.0309110013763436,0.0388138778852652,0.0466871556057638,0.0543137767560714,0.0621771882137624,0.0701195297739145,0.0780914701224896
groovy-2.1.6,0.011761325450242,0.0240242726484654,0.0363261807591533,0.0487352313791189,0.0609348670945873,0.0730955418975912,0.0854120603504534,0.097694488004909,0.1100110064577712,0.1223567455949818
groovy-2.4.4,0.0064074529446227,0.0129799400925841,0.0195111686897109,0.0260960334029227,0.0326396395652999,0.0392533852640959,0.0458465016874747,0.052427240545603,0.0589790984181471,0.0656547319431952
groovy-2.4.6,0.0184328581806838,0.0372556343144216,0.056135872041241,0.0750899889591653,0.0939825398845022,0.1128586732118157,0.1318579385243042,0.1507956378442052,0.1697497547621295,0.1888228992657229
groovy-2.4.8,0.0167375458129606,0.0337730289203242,0.0507799426980874,0.067819507138251,0.0848753969096148,0.1018700666889779,0.1189177937947416,0.1359696022333053,0.1530132480062689,0.170216065758434
groovy-2.5.0,0.0093716520151937,0.0189020233100905,0.0284828961939838,0.0381106634105165,0.0477312161143355,0.0573156962545857,0.0668857473694083,0.0765712306876512,0.0862026051605409,0.0959530190932079
groovy-2.5.5,0.0126802478542777,0.0256084937533246,0.0385151746050002,0.0515728107882743,0.0646052877496154,0.0775299394741003,0.0906055465301838,0.103745848728381,0.1169760052906249,0.1303607113590293
hbase-0.94.5,0.0332993041451879,0.0673705778589027,0.1004931226169046,0.1346329356848344,0.1687114240674138,0.2025193623675657,0.2363417300054471,0.2709324598774227,0.3053464303622124,0.3400381655982945
hbase-0.98.0,0.0176891293441538,0.035753275564067,0.053330733216328,0.0714032131445915,0.0893373535142414,0.1071714893836889,0.1251522985201,0.1435697939740621,0.1619456208862732,0.1803464489235348
hbase-0.98.5,0.0254104991156984,0.0513413663472589,0.0768069823350425,0.1027297441442376,0.1286168420950247,0.1543126520779871,0.1801900235219357,0.2064434865636413,0.2326353483953695,0.2589293385489024
hbase-0.98.11,0.0232496142938781,0.0467826670486702,0.0703417654998705,0.0939100565498032,0.1175059253959329,0.14110485844164,0.164798781674248,0.1885938234929117,0.2123168566215054,0.23620688862707
hive-1.2.0,0.0081650602935334,0.0164357577051943,0.024691528132772,0.0329645220035227,0.0412340711856388,0.0494909898427614,0.0577260921385315,0.0660151612229104,0.0742858586345713,0.0826047816871166
hive-2.0.0,0.0058286238206956,0.0117362210639453,0.0176418921261571,0.0235629726366721,0.029466717517846,0.035369499308501,0.0412848012759023,0.0472049186958983,0.0531154052107049,0.0590759724324969
hive-2.1.0,0.0050944254238498,0.010363336048552,0.0155825229113533,0.0207926690901726,0.0260362657997253,0.0312834787828708,0.0365189388768396,0.0418131634166914,0.0470820740413936,0.0524205979327572
ignite-1.4.0,0.0268975921187521,0.0550370475325259,0.08320150690526,0.1115759995332594,0.1398621448395996,0.1681866295496787,0.1967628207799568,0.2257690801043498,0.2547186637884331,0.2839816304248173
ignite-1.6.0,0.0267710836993519,0.0546306620106554,0.082688817041707,0.1108322865153168,0.1388242493064524,0.1668927009081575,0.1953259452987329,0.2240210167716426,0.2525704653167372,0.2814317528587693
log4j2-2.1,0.0209562824041477,0.0429879024515137,0.0646866798950265,0.0864622671701977,0.1085578954106125,0.1306151187351981,0.1531588043269538,0.1757536964731485,0.1982205722332458,0.2211739102605133
log4j2-2.2,0.021719468541802,0.0447892383536515,0.0672730283690653,0.089858727914294,0.1127628947401944,0.1355651520362797,0.1588260022165322,0.1827874804142622,0.2064050139488669,0.2305066177500923
log4j2-2.3,0.0215337260788939,0.0443667923957058,0.0665186512091433,0.0889228090979046,0.1114909613856265,0.1340464987195821,0.157068789342887,0.1806587528856706,0.2039333425842994,0.2278008351099393
log4j2-2.4,0.0215451411615831,0.0444429899201466,0.0667517563380896,0.0895841515032508,0.1124165466684121,0.1350962167823013,0.1583104245756425,0.1817755378103591,0.2050661081293363,0.2291312126369071
log4j2-2.5,0.0224017338193281,0.045965914688208,0.0694217318490789,0.0933405575805339,0.1172002758348931,0.1412570190129051,0.1656092995763964,0.1901487538173579,0.2146685055659541,0.2398581420549699
log4j2-2.6,0.019383524004596,0.0397995037551414,0.0600656108974038,0.0807230520724051,0.1015719971357679,0.1223293533829578,0.1436445687832009,0.1650846780236798,0.1865247872641588,0.2083479042813608
log4j2-2.7,0.0151619625509484,0.0308678863657258,0.0463899359504765,0.0621648126015139,0.0781159020563268,0.0940286843798841,0.1105084122460237,0.1271873371946921,0.1438739235696117,0.1607290613220557
log4j2-2.8,0.0144531022004319,0.0295336485145625,0.044307768633631,0.0591475515087842,0.0743886067822331,0.0893451234459814,0.1045424035487071,0.1201847312204517,0.1356738457946652,0.1516080079378976
log4j2-2.9,0.0133479637757653,0.0272654036335351,0.0409119951108394,0.0546280348908272,0.0688093782987943,0.0828101561197844,0.0968109339407744,0.1112284015778654,0.1254861381187843,0.1402647369298294
log4j2-2.10,0.0138429232557033,0.0282159142649387,0.0423102799165483,0.056662883704494,0.0712805213692057,0.0857622442253195,0.1003051287453024,0.1152217789889297,0.1299821272026693,0.1453133176125204
mahout-0.4,0.0195558961149061,0.0398617473955361,0.0599556548249832,0.0804489948970442,0.1009423349691051,0.1214193716679981,0.1420105319790664,0.1630826417985881,0.1841547516181098,0.2055203221546538
mahout-0.5,0.01529974851951,0.0315405208079824,0.0475541494280846,0.0639166058246126,0.0800113571834185,0.096341364484465,0.1126145858684189,0.1293502068629837,0.1458343473675671,0.162862010221465
mahout-0.6,0.0097650375282423,0.0200267209479641,0.0302114592295693,0.0404241775613987,0.0506438909057841,0.0609685294385103,0.071223217845676,0.0817297267048594,0.0922502255891549,0.103008554900356
mahout-0.7,0.0151753128011351,0.0312004431191337,0.0470965832783228,0.0630382493759152,0.0791013179759167,0.0949595198531029,0.1109694748583005,0.1271994718991145,0.1433535923759228,0.1600160858315692
mahout-0.8,0.0137082222401766,0.0280224071530527,0.0422827287172443,0.0566373111416336,0.0709986264846085,0.0851983517815302,0.099620263391775,0.1141431687808031,0.1285650803910479,0.1432899733376424
mng-3.1.0,0.0178903064868844,0.0363850152199474,0.0549126913482565,0.0733414652908273,0.0913636413586962,0.1099242848822514,0.1284629501423092,0.1470675501928592,0.1655952263211683,0.1832547610413301
mng-3.2.0,0.0139680729760547,0.0283418121217437,0.0427922989211472,0.0570344706604683,0.0711341110428909,0.0855955617928252,0.100100868344882,0.1146500306990614,0.1292320849048329,0.1431343741777037
mng-3.3.0,0.0136138613861386,0.0276266262989935,0.0418132722363145,0.0554066770313394,0.0692455609197283,0.08326855412814,0.0974347434743474,0.1116623025938957,0.1258591768267735,0.1401583340152197
mng-3.5.0,0.0131044106048656,0.0266638354668446,0.0402333717567594,0.053752350906995,0.0670488786426419,0.0805678577928775,0.0941475055107282,0.107787821796194,0.1214079152257881,0.134775222956986
